,part_number,description_x,qty,unit,location,tracking,expiration,lot,available_x,data_available,data_available_flag,part,description_y,uom,onhand,allocated,notavailable,dropship,available_y,onorder,committed,short,Commited_flag
577,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,290.00,ea,Stock Bin # C30,"Lot#: JR00045982
",,"JR00045982
",1,0,0,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,ea,"1,590.00",0.00,0.00,0.0,"1,590.00",0.00,0.00,0.00,0
578,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,"1,300.00",ea,Stock Bin # C30,"Lot#: 201712471234
",,"201712471234
",1,0,0,PS#10302,89-400 Black Ribbed Lid - Heat Induction liner,ea,"1,590.00",0.00,0.00,0.0,"1,590.00",0.00,0.00,0.00,0
579,PS#10303,MRP-45-400 Silver Plastic lid heat seal liner smooth sides,"2,200.00",ea,Stock Bin # C24,"Lot#: JR00044239
",,"JR00044239
",1,0,0,PS#10303,MRP-45-400 Silver Plastic lid heat seal liner smooth sides,ea,"2,200.00",0.00,0.00,0.0,"2,200.00",0.00,0.00,0.00,0
580,PS#10304,250cc Amber Glass packers 45-400 (12 pack),"3,048.00",ea,Stock Bin # B21,"Lot#: 648212
",,"648212
",1,0,0,PS#10304,250cc Amber Glass packers 45-400 (12 pack),ea,"3,048.00",0.00,0.00,0.0,"3,048.00",0.00,0.00,0.00,0
581,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","3,000.00",ea,Warehouse Floor,"Lot#: 1Z4415
",,"1Z4415
",1,0,0,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll",ea,"8,000.00",0.00,0.00,0.0,"8,000.00",0.00,0.00,0.00,0
582,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","4,000.00",ea,Warehouse Floor,"Lot#: S-458
",,"S-458
",1,0,0,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll",ea,"8,000.00",0.00,0.00,0.0,"8,000.00",0.00,0.00,0.00,0
583,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll","1,000.00",ea,Warehouse Floor,"Lot#: 1123456
",,"1123456
",1,0,0,PS#10306,"Yellow 3 x 5"" HOLD Slip - Inventory 1000/Roll",ea,"8,000.00",0.00,0.00,0.0,"8,000.00",0.00,0.00,0.00,0
584,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,742.00,ea,Stock Bin # C15,"Lot#: U203867
",,"U203867
",1,0,0,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,ea,"1,354.00",0.00,342.00,0.0,"1,012.00",0.00,0.00,0.00,0
585,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,270.00,ea,Stock Bin # C5,"Lot#: U202887
",,"U202887
",1,0,0,PS#10307-ALPHA,250cc Light Amber PET Bottle 45-400,ea,"1,354.00",0.00,342.00,0.0,"1,012.00",0.00,0.00,0.00,0
586,PS#10308,MRP-38-400 White NGII Pour Lid,200.00,ea,Stock Bin # C28,"Lot#: 373705
",,"373705
",1,0,0,PS#10308,MRP-38-400 White NGII Pour Lid,ea,200.00,0.00,0.00,0.0,200.00,0.00,0.00,0.00,0
587,PS#10309,70-400 Black Lid Smooth Side Heat Inductive Liner,760.00,ea,Stock Bin # C24,"Lot#: 202001559004
",,"202001559004
",1,0,0,PS#10309,70-400 Black Lid Smooth Side Heat Inductive Liner,ea,760.00,0.00,0.00,0.0,760.00,0.00,0.00,0.00,0
588,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,621.00,ea,Stock Bin # B7,"Lot#: U200020
",,"U200020
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
589,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,820.00,ea,Stock Bin # C11,"Lot#: U202616
",,"U202616
",1,0,0,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,ea,"6,731.00",0.00,0.00,0.0,"6,731.00",0.00,0.00,0.00,0
