,part_number,description_x,lot,qty
515,PS#10266,"Shoe Covers - Size 12-15, Blue 150 pairs/carton","07-26-2021
",7.00
302,PS#10063,Yellow shipping bags,,"7,900.00"
838,R110,Organic Turmeric Powder,"OETUP212216
","7,899.88"
282,PS#10027,MRP-38-400 White Ribbed CRC Lid - Heat Inductive Liner 1400/case,"202105606796
","7,500.00"
539,PS#10288,"MRP-45-400 Blue Ribbed, Heat Inductive liner pantone color 286 (Custom Lid)","20180507670
","7,000.00"
537,PS#10286,.05x85.5x32 Clear no perf,"1
","7,000.00"
416,PS#10190,"2 X 3"" RED QUARANTNE PRINTED LABELS",,"7,000.00"
536,PS#10283,COMAR-400cc Light Amber PET Bottle 45-400Ã¯Â¿Â½,"10601873
",697.00
200,PS#10003-ALPHA,150cc White HDPE Bottle 38-400 415/case,"P204195
",694.00
1231,R395,Pumpkin Seed Extract 10:1,"NGZ-210504
",688.00
500,PS#10252,COMAR - 300cc Dark Amber PET Bottle 45-400,"5625728
",672.00
483,PS#10231-COMAR,300cc Blue PET 45/400 bottle (PZ),"12986768
",672.00
967,R1242,Korean Red Ginseng Extract (10% Ginsenosides),,67.528
601,PS#10348,16oz Amber Glass Jar 89-400,"2161650
",667.00
0,BG182,Magnesium Glycinate - Bulk Capsules - 13072,"MAG81230
",66.00
556,PS#10301,"Innovative Molding-120-400 Deep Skirt, Fine Ribbed Sides, Black, Venting Heat Induction Lid","JR00040502
",650.00
615,PS#10367,"38-400 Gold Metal Shell, Foam liner Lids","SHAEC1504602702
",650.00
479,PS#10230-TIM,150cc Clear PET Bottle 38-400,"Y051569
",643.00
521,PS#10269,COMAR - 400cc Cobalt Blue PET Bottle PZ 45-400 160/case,"21862990
",641.00
640,PS#10400,KN-95 Masks,,640.00
9,CS#5186,Rice Bran Meal,"21105-129-M
",63.659
56,FG282,Berberine - Sample Bottle 60ct,"11275
",63.00
569,PS#10310-ALPHA,150cc Light Amber PET Bottle 38-400,"U200020
",621.00
1098,R159,Kelp Powder,"KOL-200/1912/2-50
",62.632
146,L#398,"Enrich LLC, Fulvic & Humic Acids - 60 ct Label",,603.00
864,R1129,Glucosamine Sulfate 2KCl (30-40 Mesh),"K2105072
",600.00
644,PS#10408,Safety Glasses Ice Wraparounds - Clear,,60.00
335,PS#10105,25oz White HDPE Canister 89-400 96/case,"M189614
",60.00
14,CS#5199,200cc PK/SS 38-400 Black bottles 335/cs,"U173412
",60.00
1563,R974,Organic Garlic Powder,"361518
",6.98
1484,R862,Shilajit (Std. to 20% Fulvic Acid),"JXLZ-T-201819
",6.938
948,R1232,Certified Organic Coconut Oil Powder 60% (CONN40001),"0241121020
",6.906
689,R031,Zinc Aspartate 20%,"03205104
",6.90
886,R1149,GlycerSizeÃ¯Â¿Â½,"GP012001
",6.857
1333,R544,Rosemary Powder,"20-12185-ER611
",6.80
1215,R365,Magnesium Chelate 40% Amino Acid,"T20191019
",6.72
806,R106,Panax Ginseng Extract 4:1,"PGE20050805
",6.70
980,R1257,Arnica Montana Powder,"210225
",6.65
7,CS#5173,Rice Bran Meal,"21194-242-M
",6.60
667,R013,Maca Root Extract 0.6%,"MKT-200705
",6.60
1393,R697,Glycocyamine,"20190805
",6.546
891,R1152,Caffeine Anhydrous (Non Granular 40 Mesh),"1031908084
",6.38
1026,R1318,Hydrolyzed Keratin Peptide (GWI),"JT201125
",6.257
798,R1045,Organic Virgin Coconut Oil Powder,"237908520
",6.24
762,R1002,Marigold Flower Powder (Conventional),18-03-080/0508-ER114,6.21
1150,R243,Iron (Ferrous) Aminomin 20% Fine Powder,"559615
",6.20
791,R1038,DMG (Dimethylglycine),"20210112
",6.197
904,R1175,Organic Irish Moss Powder (Origin: Non-Chinese),"9996
",6.175
906,R1176,Organic Bladderwrack Powder (Origin: Non-Chinese),"20210411
",6.1733
1107,R176,L-Glutathione (Reduced),"200829
",6.124
30,CS#5263,Beef Brain,"2113807
",6.00
