Quality Supplement Mfg,,,,,,,
On Hand,,,,,,,
 ,,,,,,,
Part Number,Description,Qty,,Location,Tracking,,
R593,Magnesium Malate 15%,10.00,kg,Expired D52,"ExpDate: 2020-01-03

Lot#: 512441
",,
R675,Apple Fruit Powder,0.656,kg,Expired D52,"ExpDate: 2021-09-30

Lot#: 19-02-032
",,
R714,Titanium Dioxide,21.609,kg,Expired D52,"ExpDate: 2019-10-06

Lot#: OGPGT11F0039
",,
R771,Instant Whey Protein Isolate 90%,9.123,kg,Expired D52,"ExpDate: 2021-08-04

Lot#: WPI190410
",,
R790,"Protease 200,000 HUT/g",5.559,kg,Expired D52,"ExpDate: 2021-09-01

Lot#: 20026
",,
R813,Bee Pollen,5.508,kg,Expired D52,"ExpDate: 2020-10-26

Lot#: SDM-102617078
",,
R819,Bilberry Fruit Extract (25% anthocyanosides) (Vaccinium myrtillus),4.878,kg,Expired D52,"ExpDate: 2020-09-10

Lot#: CB201709001
",,
R822,Rhodiola Rosea Root P.E. 5:1,4.015,kg,Expired D52,"ExpDate: 2021-03-11

Lot#: CHJT-A-802218
",,
R824,BCM-95,2.80,kg,Expired D52,"ExpDate: 2021-10-01

Lot#: 1810/B-04
",,
R828,Panax Ginseng Root Extract 7% ginsenosides,0.177,kg,Expired D52,"ExpDate: 2021-04-02

Lot#: 20160402
",,
R833,Pumpkin Seed Extract 4:1,8.60,kg,Expired D52,"ExpDate: 2020-12-16

Lot#: 20171227
",,
R838,Magnesium Aspartate 30%,19.35,kg,Expired D52,"ExpDate: 2021-01-05

Lot#: A185305
",,
R842,Organic Yellow Maca Powder (Gelatinized),7.093,kg,Expired D52,"ExpDate: 2021-04-04

Lot#: OMGY201904-05
",,
R851,Pumpkin Seed Powder,0.662,kg,Expired D52,"ExpDate: 2021-05-10

Lot#: 90805-53
",,
R866,Beef Liver Powder T.D.,0.741,kg,Expired D52,"ExpDate: 2021-05-01

Lot#: 6972
",,
R867,Phytoceramides (Rice) P.E. 10:1,7.875,kg,Expired D52,"ExpDate: 2021-05-01

Lot#: 20180522
",,
R881,Nu-MAG® Natural (Rice extract Blend),6.232,kg,Expired D52,"ExpDate: 2021-09-15

Lot#: 259-19
",,
R885,Natural Caffeine 98% (from Green Tea),13.095,kg,Expired D52,"ExpDate: 2021-05-04

Lot#: CLV-E-00177
",,
R891,Natural Vanilla Flavor (Osage),5.901,kg,Expired D52,"ExpDate: 2020-02-29

Lot#: 101-190280-116
",,
R891,Natural Vanilla Flavor (Osage),1.854,kg,Expired D52,"ExpDate: 2021-02-28

Lot#: 101-200813-838
",,
R892,Xanthan Gum (80 Mesh),9.116,kg,Expired D52,"ExpDate: 2021-04-08

Lot#: NH201904080191
",,
R900,Red Clover Extract 8% Isoflavones HPLC (20:1),4.00,kg,Expired D52,"ExpDate: 2020-03-19

Lot#: 20180320
",,
R926,Wormwood Herb Powder (Organic),9.484,kg,Expired D52,"ExpDate: 2021-10-24

Lot#: LH181024QHF
",,
R955,Damiana Leaf 5:1 Extract�,11.313,kg,Expired D52,"ExpDate: 2021-08-05

Lot#: DMA-190806
",,
R970,Pomegranate Extract 4:1,11.711,kg,Expired D52,"ExpDate: 2021-09-09

Lot#: PE18091005
",,
R989,Molybdenum Citrate,7.147,kg,Expired D52,"ExpDate: 2021-10-01

Lot#: 543846
",,
R996,Lyceum (Wolfberry/Goji) Berry Powder (Lycium Barbarum),5.647,kg,Expired D52,"ExpDate: 2021-09-06

Lot#: CGQ-E-802304M
",,
CS#5206,goBHB® Calcium Beta-Hydroxybutyrate,125.00,kg,Expired D54,"ExpDate: 2020-06-14

Lot#: 28C-KY20180606
",,
